date,btc_mvrv,btc_mvrv_lag1,btc_mvrv_percentile_lagged,btc_mvrv_z_365_lagged,btc_realized_price_gap_lag1,btc_mvrv_quintile_lagged
2020-01-01,1.29266855,,,,,
2020-01-02,1.25053513,1.29266855,,,,
2020-01-03,1.31791896,1.25053513,,,,
2020-01-04,1.32011371,1.31791896,,,,
2020-01-05,1.32145661,1.32011371,,,,
2020-01-06,1.39370793,1.32145661,,,,
2020-01-07,1.46361691,1.39370793,,,,
2020-01-08,1.44409818,1.46361691,,,,
2020-01-09,1.40140522,1.44409818,,,,
2020-01-10,1.46868165,1.40140522,,,,
2020-01-11,1.43662909,1.46868165,,,,
2020-01-12,1.46508578,1.43662909,,,,
2020-01-13,1.45144228,1.46508578,,,,
2020-01-14,1.56961852,1.45144228,,,,
2020-01-15,1.57046681,1.56961852,,,,
2020-01-16,1.55244662,1.57046681,,,,
2020-01-17,1.58350005,1.55244662,,,,
2020-01-18,1.58546449,1.58350005,,,,
2020-01-19,1.5473566,1.58546449,,,,
2020-01-20,1.5351297,1.5473566,,,,
2020-01-21,1.55321757,1.5351297,,,,
2020-01-22,1.53982465,1.55321757,,,,
2020-01-23,1.48962505,1.53982465,,,,
2020-01-24,1.49813277,1.48962505,,,,
2020-01-25,1.48017674,1.49813277,,,,
2020-01-26,1.52828873,1.48017674,,,,
2020-01-27,1.57849653,1.52828873,,,,
2020-01-28,1.66415672,1.57849653,,,,
2020-01-29,1.64238003,1.66415672,,,,
2020-01-30,1.6788746,1.64238003,,,,
2020-01-31,1.64723952,1.6788746,1.0,,,Q5 high
2020-02-01,1.65385624,1.64723952,0.9333333333333333,,,Q5 high
2020-02-02,1.64681747,1.65385624,0.9354838709677419,,,Q5 high
2020-02-03,1.63445618,1.64681747,0.875,,,Q5 high
2020-02-04,1.61396679,1.63445618,0.8181818181818182,,,Q5 high
2020-02-05,1.69073166,1.61396679,0.7941176470588235,,,Q4
2020-02-06,1.71150191,1.69073166,1.0,,,Q5 high
2020-02-07,1.71227468,1.71150191,1.0,,,Q5 high
2020-02-08,1.72692506,1.71227468,1.0,,,Q5 high
2020-02-09,1.77097976,1.72692506,1.0,,,Q5 high
2020-02-10,1.71196842,1.77097976,1.0,,,Q5 high
2020-02-11,1.7814319,1.71196842,0.925,,,Q5 high
2020-02-12,1.79066827,1.7814319,1.0,,,Q5 high
2020-02-13,1.76933628,1.79066827,1.0,,,Q5 high
2020-02-14,1.78925448,1.76933628,0.9302325581395349,,,Q5 high
2020-02-15,1.71165335,1.78925448,0.9772727272727273,,,Q5 high
2020-02-16,1.71542643,1.71165335,0.8222222222222222,,,Q5 high
2020-02-17,1.67847919,1.71542643,0.8695652173913043,,,Q5 high
2020-02-18,1.75796895,1.67847919,0.723404255319149,,,Q4
2020-02-19,1.65400241,1.75796895,0.8958333333333334,,,Q5 high
2020-02-20,1.656834,1.65400241,0.673469387755102,,,Q4
2020-02-21,1.67039608,1.656834,0.68,,,Q4
2020-02-22,1.66497501,1.67039608,0.7058823529411765,,,Q4
2020-02-23,1.71761556,1.66497501,0.6923076923076923,,,Q4
2020-02-24,1.66318594,1.71761556,0.8679245283018868,,,Q5 high
2020-02-25,1.60020647,1.66318594,0.6481481481481481,,,Q4
2020-02-26,1.51124686,1.60020647,0.4909090909090909,,,Q3
2020-02-27,1.52066209,1.51124686,0.2857142857142857,,,Q2
2020-02-28,1.49979088,1.52066209,0.2982456140350877,,,Q2
2020-02-29,1.47199899,1.49979088,0.27586206896551724,,,Q2
2020-03-01,1.46853839,1.47199899,0.22033898305084745,,,Q2
2020-03-02,1.53799766,1.46853839,0.2,,,Q1 low
2020-03-03,1.50848688,1.53799766,0.3770491803278688,,,Q2
2020-03-04,1.51310941,1.50848688,0.3064516129032258,,,Q2
2020-03-05,1.56420845,1.51310941,0.3333333333333333,,,Q2
2020-03-06,1.57796423,1.56420845,0.46875,,,Q3
2020-03-07,1.53183815,1.57796423,0.5076923076923077,,,Q3
2020-03-08,1.38962372,1.53183815,0.36363636363636365,,,Q2
2020-03-09,1.3724327,1.38962372,0.07462686567164178,,,Q1 low
2020-03-10,1.36560486,1.3724327,0.07352941176470588,,,Q1 low
2020-03-11,1.37575535,1.36560486,0.07246376811594203,,,Q1 low
